ID,XCOORD,YCOORD,TO_ID,ReachLength_Pixels,DRAINAREA_Pixels,DIRECT_DRAINAREA_Pixels,ReachLength_m,DRAINAREA_m2
1,3,239,1422,9.4852814,121,121,948.52814,1210000
2,4,366,1424,21.384776,214,214,2138.4776,2140000
3,5,351,1430,8.4852814,153,153,848.52814,1530000
4,5,295,1431,8.0710678,95,95,807.10678,950000
5,5,204,1427,7.6568542,113,113,765.68542,1130000
6,5,175,1454,19.384776,228,228,1938.4776,2280000
7,5,161,1438,10.899495,137,137,1089.9495,1370000
8,5,125,1450,17.727922,229,229,1772.7922,2290000
9,5,19,1434,8.4852814,89,89,848.52814,890000
10,6,457,1428,7.0710678,80,80,707.10678,800000
11,6,439,1429,8.6568542,98,98,865.68542,980000
12,6,426,1451,19.970563,318,318,1997.0563,3180000
13,6,332,1446,12.899495,178,178,1289.9495,1780000
14,6,315,1425,6.6568542,114,114,665.68542,1140000
15,6,287,1431,6.2426407,83,83,624.26407,830000
16,6,222,1432,6.2426407,92,92,624.26407,920000
17,6,146,1438,12.899495,198,198,1289.9495,1980000
18,6,44,1423,5.2426407,81,81,524.26407,810000
19,7,493,1435,7.0710678,115,115,707.10678,1150000
20,7,477,1469,23.213203,288,288,2321.3203,2880000
21,7,464,1428,4.8284271,71,71,482.84271,710000
22,7,446,1429,5.2426407,82,82,524.26407,820000
23,7,406,1451,13.313708,175,175,1331.3708,1750000
24,7,397,1456,17.142136,200,200,1714.2136,2000000
25,7,384,1424,4.2426407,65,65,424.26407,650000
26,7,307,1425,4.2426407,75,75,424.26407,750000
27,7,273,1426,3.8284271,90,90,382.84271,900000
28,7,259,1465,22.79899,253,253,2279.899,2530000
29,7,216,1432,5.2426407,66,66,524.26407,660000
30,7,184,1437,7.6568542,94,94,765.68542,940000
31,7,110,1442,14.727922,229,229,1472.7922,2290000
32,7,97,1442,9.4852814,98,98,948.52814,980000
33,7,61,1436,6.2426407,108,108,624.26407,1080000
34,7,26,1433,5.2426407,73,73,524.26407,730000
35,7,7,1464,18.556349,173,173,1855.6349,1730000
36,8,194,1437,10.899495,157,157,1089.9495,1570000
37,8,88,1443,9.4852814,103,103,948.52814,1030000
38,8,80,1443,8.0710678,133,133,807.10678,1330000
39,8,50,1423,2.4142136,57,57,241.42136,570000
40,9,506,1435,10.899495,190,190,1089.9495,1900000
41,9,247,1422,1,52,52,100,520000
42,9,34,1444,5.8284271,87,87,582.84271,870000
43,10,69,1436,10.899495,172,172,1089.9495,1720000
44,11,489,1449,8.0710678,92,92,807.10678,920000
45,11,276,1426,1.4142136,56,56,141.42136,560000
46,12,355,1445,7.2426407,85,85,724.26407,850000
47,12,230,1463,11.071068,148,148,1107.1068,1480000
48,13,434,1461,11.313708,140,140,1131.3708,1400000
49,13,368,1439,20.384776,221,221,2038.4776,2210000
50,13,268,1447,3.8284271,64,64,382.84271,640000
51,13,242,1440,1.4142136,74,74,141.42136,740000
52,13,205,1427,5.2426407,84,84,524.26407,840000
53,14,323,1462,9.4852814,158,158,948.52814,1580000
54,14,300,1457,11.899495,126,126,1189.9495,1260000
55,14,130,1450,3.8284271,64,64,382.84271,640000
56,14,22,1434,4.2426407,67,67,424.26407,670000
57,17,405,1452,2.8284271,62,62,282.84271,620000
58,17,210,1448,4.8284271,71,71,482.84271,710000
59,17,120,1467,6.6568542,93,93,665.68542,930000
60,17,10,1464,5.6568542,92,92,565.68542,920000
61,19,274,1453,1,57,57,100,570000
62,19,145,1472,9.4852814,120,120,948.52814,1200000
63,20,481,1469,6.6568542,101,101,665.68542,1010000
64,20,103,1459,7.6568542,93,93,765.68542,930000
65,20,20,1480,17.556349,234,234,1755.6349,2340000
66,21,353,1445,7.6568542,95,95,765.68542,950000
67,22,507,1481,11.485281,141,141,1148.5281,1410000
68,22,115,1467,6.6568542,102,102,665.68542,1020000
69,23,452,1471,2.8284271,54,54,282.84271,540000
70,23,440,1461,2.8284271,57,57,282.84271,570000
71,23,364,1496,34.870058,350,350,3487.0058,3500000
72,23,168,1470,1.4142136,52,52,141.42136,520000
73,24,309,1477,4.2426407,60,60,424.26407,600000
74,25,287,1473,5.2426407,70,70,524.26407,700000
75,25,212,1466,10.071068,101,101,1007.1068,1010000
76,25,199,1484,18.556349,246,246,1855.6349,2460000
77,26,429,1494,9.0710678,143,143,907.10678,1430000
78,26,66,1505,17.142136,206,206,1714.2136,2060000
79,26,44,1479,1.4142136,59,59,141.42136,590000
80,27,218,1466,5.8284271,79,79,582.84271,790000
81,28,345,1476,16.727922,193,193,1672.7922,1930000
82,29,185,1484,1,56,56,100,560000
83,29,103,1488,2.8284271,61,61,282.84271,610000
84,30,447,1475,6.2426407,78,78,624.26407,780000
85,30,282,1510,10.485281,110,110,1048.5281,1100000
86,31,166,1485,1.4142136,55,55,141.42136,550000
87,32,423,1494,4.2426407,66,66,424.26407,660000
88,32,333,1482,4.2426407,65,65,424.26407,650000
89,32,15,1522,11.899495,148,148,1189.9495,1480000
90,33,506,1481,6.6568542,118,118,665.68542,1180000
91,33,410,1531,15.142136,146,146,1514.2136,1460000
92,33,355,1513,6.6568542,91,91,665.68542,910000
93,34,105,1488,5.2426407,110,110,524.26407,1100000
94,34,36,1489,4.2426407,108,108,424.26407,1080000
95,35,499,1492,2.8284271,56,56,282.84271,560000
96,35,120,1515,9.8994949,97,97,989.94949,970000
97,37,487,1493,5.6568542,76,76,565.68542,760000
98,37,436,1527,8.0710678,116,116,807.10678,1160000
99,37,391,1506,1.4142136,51,51,141.42136,510000
100,37,265,1521,5.6568542,82,82,565.68542,820000
101,37,203,1514,1.4142136,63,63,141.42136,630000
102,37,77,1516,1.4142136,52,52,141.42136,520000
103,38,366,1574,33.284271,367,367,3328.4271,3670000
104,38,354,1513,1,56,56,100,560000
105,38,327,1497,6.6568542,87,87,665.68542,870000
106,38,303,1500,5.6568542,84,84,565.68542,840000
107,39,379,1496,9.4852814,124,124,948.52814,1240000
108,40,273,1545,14.313708,168,168,1431.3708,1680000
109,40,204,1514,2.8284271,54,54,282.84271,540000
110,40,103,1502,8.4852814,88,88,848.52814,880000
111,41,412,1540,12.313708,154,154,1231.3708,1540000
112,41,232,1508,6.2426407,82,82,624.26407,820000
113,41,44,1518,9.4852814,122,122,948.52814,1220000
114,41,22,1522,2.8284271,61,61,282.84271,610000
115,42,217,1508,22.384776,292,292,2238.4776,2920000
116,42,122,1515,8.0710678,137,137,807.10678,1370000
117,43,450,1539,16.142136,198,198,1614.2136,1980000
118,43,390,1517,6.6568542,89,89,665.68542,890000
119,43,195,1523,1,78,78,100,780000
120,44,343,1533,2.8284271,64,64,282.84271,640000
121,45,316,1528,2.4142136,55,55,241.42136,550000
122,45,151,1537,8.4852814,97,97,848.52814,970000
123,45,142,1542,7.0710678,87,87,707.10678,870000
124,46,489,1534,8.6568542,87,87,865.68542,870000
125,46,438,1536,8.0710678,107,107,807.10678,1070000
126,47,505,1538,10.899495,164,164,1089.9495,1640000
127,47,352,1541,6.2426407,100,100,624.26407,1000000
128,47,311,1528,5.6568542,83,83,565.68542,830000
129,47,92,1566,15.727922,191,191,1572.7922,1910000
130,48,327,1520,12.899495,145,145,1289.9495,1450000
131,48,298,1535,12.313708,182,182,1231.3708,1820000
132,48,183,1524,7.6568542,122,122,765.68542,1220000
133,48,79,1525,8.0710678,81,81,807.10678,810000
134,49,26,1544,8.0710678,118,118,807.10678,1180000
135,50,422,1553,8.0710678,96,96,807.10678,960000
136,51,363,1574,22.213203,270,270,2221.3203,2700000
