"DOY","nwis_01480617","nwis_01480870","nwis_01493112","nwis_01548303","nwis_01608500","nwis_01611500","nwis_01632900","nwis_01645704","nwis_01646305","nwis_01648010","nwis_01649190","nwis_01650800","nwis_01656903","nwis_01673000","nwis_02101726","nwis_02110500","nwis_02160105","nwis_02160700","nwis_02203655","nwis_02217643","nwis_02266200","nwis_02266300","nwis_02336152","nwis_023362095","nwis_02336300","nwis_02336313","nwis_02336410","nwis_02336526","nwis_03067510","nwis_04121944","nwis_04121970","nwis_04125460","nwis_04136900","nwis_04137005","nwis_04166500","nwis_04176500","nwis_04213500","nwis_05435943","nwis_07075250","nwis_07075270","nwis_07143672","nwis_07177500","nwis_08052745","nwis_10133980","nwis_11044000","nwis_11273400","nwis_14206950"
1,-1.17470517090168,-1.29632634664987,-0.594974101399797,-0.552959040657628,-0.751503683996382,-1.09325609961546,-0.510924718018957,-0.358209244863352,-0.479219826860182,-0.619057276975726,-0.351983132737589,-0.48989631844736,-0.22101125479818,-0.620537435631946,-1.29104057900336,-0.950473588840218,-1.09244443335627,-0.842483700849552,-1.35468187006083,-0.557001055138188,-0.043452100712904,-1.1508251259359,-0.858202676974266,-0.6717663555351,-1.33899056693667,-1.12643885259235,-0.829216235267802,-1.10259701612348,-0.862698824856516,-1.05357388791028,-1.01542315784662,-1.1826347974807,-1.28173707535644,-0.819681042924362,-0.630631687358591,-0.949437595731414,-1.15339322451535,-1.18778930989454,-0.757034766200091,-0.909097003231525,-1.20901729681044,-1.05201326355939,-0.266253838016039,-1.13078225762803,-1.6307277138147,-1.28477853589335,-1.02803170221162
2,-1.17044603495994,-1.29915778507784,-0.540527903670055,-0.876490402893657,-0.694875936641589,-1.04036864635688,-0.566771443897706,-0.463662750051353,-0.476896159258548,-0.678179225250865,-0.443217769688917,-0.489065895305625,-0.289659633057955,-1.09903514447586,-1.66568853369348,-1.06030381358908,-1.13773765821291,-0.975750051862309,-1.3160427613926,-0.394560857644355,0.203511486031775,-0.490568516118844,-0.780634226011253,-0.603401326874776,-1.38067738676197,-1.00347398594528,-1.16280613582835,-1.11943924445013,-0.890159394008196,-1.10478261402304,-0.937610305141345,-1.18933832621987,-1.27216005974673,-0.951913194603184,-0.618826132077182,-0.964195337157907,-1.16142810362174,-1.22133485420596,-0.445099649340024,-0.708239557478901,-1.24958499205351,-1.10821210441463,-1.47982815880402,-1.13749795351827,-1.47706879406671,-1.23070295142318,-1.04290502275663
3,-1.16498854931904,-1.30072604846445,-0.687170665767371,-0.820412377963184,-0.762803810223284,-1.11197062781515,-0.71818916484585,-0.591147663326712,-0.722950595385773,-0.757429952611638,-0.692242197995573,-0.693573236492552,-0.418577473257139,-1.14565507039312,-0.858782818533106,-0.875788206033203,-1.17493124623045,-1.18362798950599,-1.57695936373233,-0.58530227011103,-0.321916419848076,-1.06448085914895,-0.808438418407247,-0.55852801103384,-1.42535204729197,-1.17391071840653,-0.970426584157404,-1.11789405029863,-0.860012960522412,-1.09242639752714,-0.959936549110407,-1.17619208788237,-1.41004403283291,-0.898008286737083,-0.581208532770042,-1.17233457078517,-0.872261598349122,-1.26245115696037,-0.66889714858346,-0.942398756087995,-1.25336104195442,-1.12720774567296,-1.12008488828897,-1.14352054038357,-1.39813611684127,-1.21475036598385,-0.981776024123848
4,-1.15835168493664,-1.3010505120396,-0.768228914185699,-0.69567161921406,-0.696791252824042,-1.05580014846859,-0.837637653520096,-0.450161091447686,-0.668017155479124,-0.768320421970015,-0.772856462715403,-0.664065763566542,-0.301665588653488,-1.25851375785343,-1.87659447995256,-0.90140409963836,-1.13408629293294,-0.89398745419208,-1.43112084424177,-0.63075281749784,-0.0617990146464253,-1.00193562357928,-0.853673145844246,-0.513678136086383,-1.44171992768532,-1.1919631132318,-0.994046716730805,-1.18516353380989,-1.0332487518893,-1.07016458235959,-0.956449082859848,-1.17185785655608,-1.26429093958124,-0.946179857699104,-0.741512799642248,-0.992763542165962,-0.84831944830614,-1.18662106122459,-0.776391517825007,-0.930281166142525,-1.28017525995984,-0.782510320507949,-0.534452702355836,-1.14886216247001,-1.53714362433686,-1.21855363746836,-1.05604711707052
5,-1.15055441277041,-1.30015055103318,-0.582498885340216,-0.332153339892452,-0.591918904422269,-1.01987313793158,-0.566122522033262,-0.208487323980495,-0.55141585276029,-0.807607066339169,-0.565697450091264,-0.631252413369882,-0.371327958720138,-0.877877865404561,-1.11674721517299,-0.955032567591082,-1.20668712645482,-1.08119180430503,-1.3027202175343,-0.523386688389038,-0.012948580189246,-0.0343067481445506,-0.839899072394517,-0.530874623869567,-1.5013684128752,-1.17609715981132,-0.978163795941251,-1.0907504644254,-0.875921864756371,-1.073749747002,-0.856360478463024,-1.12002970479806,-1.25702699316479,-1.03697054131722,-0.621906546768463,-1.00655398475721,-1.05696864864607,-1.19322733544334,-0.845502836381322,-0.887456310204435,-1.20688589912713,-0.834871719122296,0.882821937981408,-1.15353496402368,-1.26517716345261,-1.19651135538178,-1.13326456764318
6,-1.14161570377804,-1.2980455406751,-0.61703170135081,-0.828070903756919,-0.48533835387701,-1.14685926316447,-0.668697178950557,-0.453169245280771,-0.498081153198731,-0.723712145586551,-0.633080371934808,-0.596960792222272,-0.260079804510176,-1.10980966677443,-0.146765656672851,-0.814401202326597,-1.16524373647996,-1.09245237575011,-1.21259166387907,-0.379298121516358,0.0229346944660583,-0.781297597476423,-0.742866796902024,-0.608980832656622,-1.39304892870575,-1.29226752810974,-0.990653469034523,-1.06067903371768,-0.983467851903242,-1.07697285910383,-0.891947286927208,-1.18732061218247,-1.3400961479881,-0.906937266642587,-0.622065510039402,-1.02000197341306,-0.68772662740749,-1.11712760614213,-0.588890015470185,-0.96422524414578,-1.15334770002102,-1.6434735515301,0.886254222327266,-1.15755108929067,-1.5553389295491,-1.17418299811957,-1.00201644407176
7,-1.13155452891717,-1.29475485619526,-0.677471826279781,-1.04009611471206,-0.5141204400192,-1.18065241158166,-0.69150590818731,-0.448774489676596,-0.330597576918654,-0.802111435402467,-0.692676102519941,-0.561435058203767,-0.343872013864234,-1.53486926698191,-1.67147768244213,-0.963851752976467,-1.16638172094479,-1.0823723304939,-1.49678365369686,-0.720428072510369,-0.104172334101889,-0.981001266060922,-0.769946619296283,-0.562036505688635,-1.46397025089462,-1.17433797179327,-0.92952669893537,-1.01917675563243,-0.931984738958337,-1.04123277278029,-0.994328970927286,-1.14977157364654,-1.30654447671523,-0.905908257410601,-0.621993724645955,-1.03309749763836,-0.944444435721404,-1.24511838952626,-0.865731507677312,-1.1185809298678,-1.13108156054026,-1.28076702098758,-0.513245446487321,-1.16092268251706,-1.42769601383588,-1.05794129891075,-0.958262642166234
8,-1.1203898591455,-1.29029787282356,-0.695556268271935,-1.00173541927454,-0.512718245665794,-1.14460748478716,-0.66447444604791,-0.422523288614297,-0.468819257844253,-0.80590214093939,-0.581525108345929,-0.564752056166514,-0.413302221413628,-1.11470803988244,-1.93283506353648,-0.852973337344964,-1.23228196500854,-1.02639820936965,-1.46673774997312,-0.643922441794937,-0.0577256565655062,-0.24929961499428,-0.886661058631755,-0.752699564355236,-1.50730513100201,-1.11726243944615,-1.0224537794518,-1.05779012410294,-0.934001511740171,-1.00158105863945,-0.633154978729011,-1.16828727195904,-1.31504393794772,-0.95334232190136,-0.70058681395616,-1.19189966235112,-1.02599982817448,-1.25761226975231,-0.654713763665796,-0.957019434258517,-1.09622554531612,-0.604616204290096,-0.061392765949754,-1.16366188794895,-1.45624033502684,-1.06937749830156,-1.21131791966267
9,-1.10814066542069,-1.2846939657899,-0.621957382852753,-0.476117508944768,-0.691249898346966,-1.1626517678344,-0.845407840189762,-0.326807415826889,-0.559716618205808,-0.658929103211332,-0.602799051233738,-0.558461171336059,-0.382989655353876,-1.2448795374011,-1.04321555727157,-0.765075472303726,-1.17420375067891,-1.1627643138557,-1.34318173630992,-0.731593210484658,-0.414655900696766,-0.273297822783668,-0.943056911421211,-0.512188489698638,-1.49334553704911,-1.20375417671541,-0.846444317146711,-1.20038326531009,-0.95944514019465,-1.07788733103806,-1.05996870072024,-1.19244023865281,-1.33955078913464,-0.908583327170697,-0.710412632353978,-1.1666865507226,-0.987992938405839,-1.18055194537787,-0.751487491783403,-0.922324525851355,-1.07851785679365,-0.9955223725444,-0.345435566857843,-1.16578084983243,-1.41240054043203,-1.25774070814823,-1.20861981330378
10,-1.0948259187004,-1.27796251032417,-0.720398826677435,-0.778098656860703,-0.487217319009691,-1.17476649983727,-0.852645433722625,-0.549296286808013,-0.553004210860927,-0.765896123584598,-0.615195226344611,-0.617133595459464,-0.410831265275407,-1.09283540118067,-0.876083315138839,-0.811454085789746,-1.03391233430217,-1.2108992585249,-1.24455313114205,-0.53763416315064,-0.386511748304608,-0.921290317533244,-0.826507195326556,-0.533784641043599,-1.43214767364952,-1.33057718669144,-0.943631351120512,-0.931244177056311,-1.03071253969784,-1.0708939178568,-0.894401090130021,-1.21525114309762,-1.27348235060388,-0.959189316484875,-0.620108601024714,-1.07016917877937,-0.415851041336597,-1.16308302140488,-0.334004516444633,-0.764485572432188,-1.07463636386381,-1.22840457338585,0.0705297735472867,-1.22303294413845,-1.3971551593452,-1.18606612176578,-1.16776816715183
